arm,source,host,speaker,why_unclear,url
base,src:2,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC12371510
base,src:3,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC11933996/
base,src:4,kevinmd.com,practitioner,"front page unreadable (403)",https://kevinmd.com/2026/04/severe-note-bloat-is-fueling-dangerous-physician-burnout.html
base,src:5,kevinmd.com,practitioner,"front page unreadable (403)",https://kevinmd.com/2026/03/the-hidden-risks-and-rewards-of-ai-scribes-in-medicine.html
base,src:6,kevinmd.com,practitioner,"front page unreadable (403)",https://kevinmd.com/2026/08/why-ambient-ai-scribe-notes-fail-the-2026-cms-audit.html
base,src:7,kevinmd.com,practitioner,"front page unreadable (403)",https://kevinmd.com/2026/07/your-ambient-ai-scribe-consent-checkbox-is-not-consent.html
base,src:8,aihc-assn.org,practitioner,"talks about this market (note) with no sales call to action",https://aihc-assn.org/coding-under-pressure/
base,src:9,klasresearch.com,practitioner,"talks about this market (clinician, physician, nurse) with no sales call to action",https://klasresearch.com/archcollaborative/report/reducing-nursing-documentation-burden-2025/706
base,src:10,phti.org,analyst,"talks about this market (patient, health system) with no sales call to action",https://phti.org/announcement/ai-scribes-reduce-clinician-burnout/
base,src:11,advisory.com,analyst,"page carries a sponsorship marker somewhere; check whether this article is the sponsored one",https://www.advisory.com/daily-briefing/2026/04/13/ai-scribes-oi-ec
base,src:12,cio.com,buyer,"front page unreadable (403)",https://www.cio.com/article/4149245/healthcare-cios-rethink-ai-rollout.html
otto,src:1,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC11933996/
otto,src:2,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC12844589/
otto,src:3,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC13325621/
otto,src:4,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC13120879/
otto,src:5,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC13140808/
otto,src:6,pmc.ncbi.nlm.nih.gov,practitioner,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC13220976/
otto,src:7,pmc.ncbi.nlm.nih.gov,analyst,"talks about this market (documentation) with no sales call to action",https://pmc.ncbi.nlm.nih.gov/articles/PMC12105566/
otto,src:8,pubmed.ncbi.nlm.nih.gov,analyst,"talks about this market (note) with no sales call to action",https://pubmed.ncbi.nlm.nih.gov/42127286/
otto,src:13,kevinmd.com,practitioner,"front page unreadable (403)",https://kevinmd.com/2026/03/the-hidden-risks-and-rewards-of-ai-scribes-in-medicine.html
otto,src:14,techysurgeon.substack.com,practitioner,"talks about this market (clinician) with no sales call to action",https://techysurgeon.substack.com/p/youre-using-your-clinics-ambient
otto,src:15,kevinmd.com,practitioner,"front page unreadable (403)",https://kevinmd.com/2026/08/why-ambient-ai-scribe-notes-fail-the-2026-cms-audit.html
