arm,source,host,speaker,why_unclear,url
base,src:2,lexisnexis.co.uk,practitioner,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://www.lexisnexis.co.uk/blog/in-house/regulatory-compliance-the-top-challenge-for-in-house-counsel-in-2025
base,src:3,artificiallawyer.com,buyer,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://www.artificiallawyer.com/2026/02/12/we-get-nothing-from-law-firm-ai-use-client/
base,src:4,caselaw.findlaw.com,practitioner,"front page unreadable (403)",https://caselaw.findlaw.com/court/us-dis-crt-sd-new-yor/2335142.html
base,src:5,fulkersonadvisors.com,analyst,"talks about this market (legal, law firm, counsel) with no sales call to action",https://www.fulkersonadvisors.com/research/ai-in-outside-counsel-guidelines
base,src:6,abovethelaw.com,analyst,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://abovethelaw.com/2026/08/law-firms-are-buying-ai-but-are-they-really-using-it/
otto,src:1,abovethelaw.com,practitioner,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://abovethelaw.com/2025/09/midlevel-biglaw-associates-cant-believe-how-terrible-the-technology-is-at-their-firms/
otto,src:2,propertyinsurancecoveragelaw.com,practitioner,"talks about this market (law firm, contract, litigation) with no sales call to action",https://www.propertyinsurancecoveragelaw.com/blog/ai-legal-profession-human-judgment-verification/
otto,src:3,lawnext.com,press,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://www.lawnext.com/2026/09/which-ai-product-is-most-popular-among-law-firms-findings-of-iltas-tech-survey-may-surprise-you.html
otto,src:4,abovethelaw.com,press,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://abovethelaw.com/2026/08/law-firms-are-buying-ai-but-are-they-really-using-it/
otto,src:5,damiencharlotin.com,analyst,"front page unreadable (400)",https://www.damiencharlotin.com/hallucinations/
otto,src:7,abovethelaw.com,press,"page carries a sponsorship marker somewhere; check whether this article is the sponsored one",https://abovethelaw.com/2026/08/lawyers-want-to-figure-out-ai-but-many-struggle-to-know-where-to-start/
otto,src:8,abovethelaw.com,practitioner,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://abovethelaw.com/2026/06/biglaw-chair-gets-real-with-how-ai-is-changing-the-role-of-associate/
otto,src:9,abovethelaw.com,press,"page carries a sponsorship marker somewhere; check whether this article is the sponsored one",https://abovethelaw.com/2026/08/new-survey-says-lawyers-are-just-as-miserable-as-everyone-else/
otto,src:10,abovethelaw.com,practitioner,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://abovethelaw.com/2026/04/elite-biglaw-firm-learns-the-real-cost-of-ai-hallucinations-the-firms-reputation/
otto,src:11,inhouseconnect.org,practitioner,"talks about this market (legal, contract, counsel) with no sales call to action",https://inhouseconnect.org/resource-center/news/what-slows-down-contracting-usually-has-nothing-to-do-with-contract-review-2/
otto,src:12,inhouseconnect.org,practitioner,"talks about this market (legal, contract, counsel) with no sales call to action",https://inhouseconnect.org/resource-center/news/legal-teams-keep-buying-tools-before-they-understand-the-process-they-are-fixing/
otto,src:13,artificiallawyer.com,press,"talks about this market (legal, law firm, lawyer) with no sales call to action",https://www.artificiallawyer.com/2026/09/16/31-of-law-firms-say-ai-improves-profitability/
otto,src:15,abovethelaw.com,press,"page carries a sponsorship marker somewhere; check whether this article is the sponsored one",https://abovethelaw.com/2026/08/the-ai-user-experience-is-more-important-than-ever/
otto,src:17,inhouseconnect.org,practitioner,"talks about this market (legal, contract, counsel) with no sales call to action",https://inhouseconnect.org/resource-center/news/legal-departments-dont-have-a-workload-problem-they-have-a-design-problem-2/
