arm,source,host,speaker,why_unclear,url
base,src:1,capterra.com,customer,"front page unreadable (403)",https://www.capterra.com/p/152373/HubSpot-CRM/reviews/
base,src:2,capterra.com,customer,"front page unreadable (403)",https://www.capterra.com/p/152373/HubSpot-CRM/reviews/?page=13
base,src:3,capterra.com,customer,"front page unreadable (403)",https://www.capterra.com/p/214215/HubSpot-SalesHub/reviews/
base,src:4,capterra.com,customer,"front page unreadable (403)",https://www.capterra.com/p/214215/HubSpot-SalesHub/reviews/?page=5
base,src:5,capterra.com,customer,"front page unreadable (403)",https://www.capterra.com/p/171840/HubSpot-Marketing/reviews/
base,src:6,capterra.com,customer,"front page unreadable (403)",https://www.capterra.com/p/171840/HubSpot-Marketing/reviews/?page=11
base,src:7,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/www.hubspot.com
base,src:8,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/www.hubspot.com?page=2
base,src:9,tonydowling.substack.com,practitioner,"talks about this market (crm, sales) with no sales call to action",https://tonydowling.substack.com/p/why-your-sales-team-wont-update-hubspot
base,src:10,revblack.com,practitioner,"talks about this market (crm, marketing, sales) with no sales call to action",https://www.revblack.com/guides/hubspot-audit-checklist
base,src:12,revefied.com,practitioner,"talks about this market (crm, marketing, sales) with no sales call to action",https://revefied.com/revefied-blog/how-to-clean-up-a-messy-hubspot-crm-without-breaking-everything
base,src:18,blog.send.win,practitioner,"sells something, but not obviously into this market",https://blog.send.win/manage-multiple-hubspot-accounts-multi-account-management-guide-2026/
base,src:19,lyntonweb.com,practitioner,"talks about this market (crm, marketing, email) with no sales call to action",https://www.lyntonweb.com/library/why-companies-leaving-hubspot-2026
base,src:20,aws.amazon.com,customer,"talks about this market (marketing, email) with no sales call to action",https://aws.amazon.com/marketplace/reviews/reviews-list/prodview-lcxo57hplelqw?page=993
otto,src:1,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/171840/HubSpot-Marketing/reviews/?page=2
