arm,source,host,speaker,why_unclear,url
base,src:2,moxiegtm.substack.com,practitioner,"talks about this market (gtm) with no sales call to action",https://moxiegtm.substack.com/p/how-to-save-200k-and-2-months-without
base,src:3,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/marinaghilchik_most-gtm-motions-dont-break-in-clay-they-activity-7425155378612682752-Wqu5
base,src:4,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/milman-blum_clay-is-a-solid-tool-but-for-lead-email-activity-7314919952082243584-r8jO
base,src:5,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/michel-lieben_heres-the-biggest-issue-with-clay-it-activity-7184599187743739904-ioY8
base,src:6,revnu.partners,analyst,"talks about this market (gtm, outbound, enrichment) with no sales call to action",https://revnu.partners/blog/clay-story
base,src:8,gtmdaily.com,press,"talks about this market (gtm, data) with no sales call to action",https://gtmdaily.com/news/clay-2026-pricing-change-a-deep-dive-voice-of-the-customer-analysis/
base,src:10,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/anthony-natoli_signal-based-outbound-has-made-sdrs-and-aes-activity-7481049907370323968--029
base,src:11,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/noemiejacquemin_struggling-to-hire-a-gtm-engineer-getting-activity-7428070601447235586-tx9g
base,src:12,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/marcos-stu_most-people-burn-clay-credits-like-theyre-activity-7386496938638155776-51NV
base,src:13,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/anantha-koppa_unpopular-opinion-using-clay-doesnt-make-activity-7396072105261445120-Makg
base,src:14,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/benjamin-aaron-reed_clay-coined-the-term-gtm-engineer-i-think-activity-7407123500437602304-dt8c
base,src:15,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/john-p-gladysz_the-agency-business-is-brutal-i-reviewed-activity-7413997692626001920-k5zM
base,src:16,gtmepulse.com,analyst,"talks about this market (gtm, enrichment, signals) with no sales call to action",https://gtmepulse.com/insights/job-market-2026/
base,src:17,sloane-staffing.com,analyst,"talks about this market (gtm, outbound, enrichment) with no sales call to action",https://www.sloane-staffing.com/insights/gtm-engineer-salary-guide-2026/
base,src:18,linkedin.com,practitioner,"talks about this market (crm, data) with no sales call to action",https://www.linkedin.com/posts/billstath_not-all-intent-signals-are-worth-your-time-activity-7488165806317625344-zmyo
otto,src:1,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/zoominfo.com
otto,src:2,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/zoominfo.com
otto,src:3,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/zoominfo.com
otto,src:4,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/zoominfo.com
otto,src:5,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/zoominfo.com
otto,src:6,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/cognism.com
otto,src:7,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/cognism.com
otto,src:8,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/cognism.com
otto,src:9,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/cognism.com
otto,src:10,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/seamless.ai
otto,src:11,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/seamless.ai
otto,src:12,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/seamless.ai
otto,src:13,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/seamless.ai
otto,src:14,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/seamless.ai
otto,src:15,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/lusha.com
otto,src:16,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/lusha.com
otto,src:17,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/lusha.com
otto,src:18,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/lusha.com
otto,src:19,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/lusha.com
otto,src:20,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:21,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:22,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:23,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:24,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:25,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:26,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/clay.com
otto,src:27,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/apollo.io
otto,src:28,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/apollo.io
otto,src:29,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/apollo.io?stars=1&stars=2&stars=3
otto,src:30,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/instantly.ai
otto,src:31,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/instantly.ai
otto,src:32,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/smartlead.ai
otto,src:33,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/smartlead.ai
otto,src:34,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/smartlead.ai
otto,src:35,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/smartlead.ai
